Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,Bollinger MA,Bollinger Up,Bollinger Down,MACD,MACDsig,MACDhist,new_indicator,sma_new_indicator,Prediction
3/16/2021,2114,2126,2095.5,2100.600098,2080.230713,6402757,2114.450018,59.01813008,2114.450018,2230.870252,1998.029785,39.86592907,47.84803034,-7.982101272,0.089300945,0.121200722,S
3/17/2021,2098.050049,2103,2035.099976,2055.350098,2035.419434,8865521,2114.242523,49.35125738,2114.242523,2231.089136,1997.395911,30.8698347,44.45239121,-13.58255651,0.076254017,0.116617016,S
3/18/2021,2072.899902,2084.800049,2001,2009.099976,1989.618042,9528809,2110.535022,33.02371692,2110.535022,2235.916024,1985.154021,19.78035121,39.51798321,-19.737632,0.061915034,0.109440402,S
3/19/2021,1991,2095.850098,1982.800049,2082,2061.811035,19284892,2111.250025,49.53961144,2111.250025,2235.762597,1986.737452,16.68197887,34.95078234,-18.26880348,0.065336845,0.102485366,S
3/22/2021,2071,2074,2033.199951,2062.399902,2042.401001,8571196,2110.355017,45.28097837,2110.355017,2236.055975,1984.65406,12.50083056,30.46079199,-17.95996142,0.066056329,0.095712372,S
3/23/2021,2061.949951,2109.699951,2056,2087.5,2067.257813,8039865,2114.325018,47.88426562,2114.325018,2231.128507,1997.52153,11.08482953,26.5855995,-15.50076996,0.071785309,0.08962511,S
3/24/2021,2079.75,2079.75,2040.400024,2047.300049,2027.447632,7763726,2115.517523,29.70103199,2115.517523,2228.849953,2002.185093,6.642270476,22.59693369,-15.95466322,0.070727911,0.083731488,S
3/25/2021,2054,2054,1985,1991.449951,1972.13916,10153757,2112.040021,27.56145394,2112.040021,2236.169732,1987.910309,-1.369340825,17.80367879,-19.17301961,0.063230366,0.077628229,S
3/26/2021,2012,2013.699951,1973.699951,1994.650024,1975.308105,9313160,2104.555017,27.62314242,2104.555017,2238.172574,1970.93746,-7.375362764,12.76787048,-20.14323324,0.060970137,0.072489432,S
3/30/2021,2008,2048.899902,1991.550049,2029.300049,2009.622192,9433842,2101.730017,31.33796234,2101.730017,2239.346413,1964.113621,-9.232781232,8.367740136,-17.60052137,0.066893688,0.069247058,S
3/31/2021,2018,2049.899902,1999,2003.099976,1983.676147,7499740,2096.800018,29.55511115,2096.800018,2241.312688,1952.287349,-12.67284105,4.159623898,-16.83246495,0.068682967,0.06718526,L
4/1/2021,2018,2030,2003.150024,2021.849976,2002.244263,5410307,2092.592517,32.94269834,2092.592517,2240.829446,1944.355589,-13.72789828,0.582119462,-14.31001774,0.074559309,0.06701579,L
4/5/2021,2024.949951,2025,1962.099976,1992.599976,1973.277954,6864856,2082.117511,34.0378751,2082.117511,2227.350153,1936.884869,-16.73140012,-2.880584454,-13.85081566,0.075629075,0.068387194,L
4/6/2021,2004,2004.949951,1969,1984.300049,1965.058594,6465241,2072.540009,35.63856975,2072.540009,2217.008077,1928.07194,-19.55600229,-6.21566802,-13.34033427,0.076818302,0.069535339,L
4/7/2021,2000,2046.900024,1993.300049,2002.849976,1983.428589,11198918,2063.74751,38.99335318,2063.74751,2202.294834,1925.200186,-20.066383,-8.985811016,-11.08057198,0.082082688,0.071137975,L
4/8/2021,2011,2022,1993,2005.349976,1985.904297,7092878,2054.460004,43.77023796,2054.460004,2181.486234,1927.433774,-20.038147,-11.19627821,-8.841868788,0.087298014,0.072689246,L
4/9/2021,1998.449951,2006.349976,1980,1982.050049,1962.830322,6478482,2044.010004,46.42527934,2044.010004,2157.376397,1930.643611,-21.64635346,-13.28629326,-8.3600602,0.088420445,0.074458499,L
4/12/2021,1959,1961.400024,1900.25,1911.150024,1892.61792,9646031,2030.470007,27.30173041,2030.470007,2139.053641,1921.886374,-28.31550464,-16.29213554,-12.0233691,0.07988633,0.076124096,L
